Region,ABM-11-M,ABM-11-F,HUMSS-11-M,HUMSS-11-F,STEM-11-M,STEM-11-F,GAS-11-M,GAS-11-F,MARITIME-11-M,MARITIME-11-F,TVL-11-M,TVL-11-F,Sports-11-M,Sports-11-F,Arts&Design-11-M,Arts&Design-11-F,ABM-12-M,ABM-12-F,HUMSS-12-M,HUMSS-12-F,STEM-12-M,STEM-12-F,GAS-12-M,GAS-12-F,MARITIME-12-M,MARITIME-12-F,TVL-12-M,TVL-12-F,Sports-12-M,Sports-12-F,Arts&Design-12-M,Arts&Design-12-F,Sector,A.Y,Academic Track 11 M,Academic Track 11 F,Grand Total 11 M,Grand Total 11 F,Academic Track 12 M,Academic Track 12 F,Grand Total 12 M,Grand Total 12 F
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,356,522,942,1374,393,651,3468,4925,0,0,3193,3700,17,11,36,16,380,524,619,868,376,569,2528,3858,0,0,2224,2258,9,13,36,45,Public,2019-2020,5159,7472,8405,11199,3903,5819,6172,8135
CAR - Cordillera Administrative Region,327,847,1890,2271,625,930,1182,1349,34,4,2837,2051,49,28,18,28,286,701,1371,1786,581,717,924,1162,0,0,2579,2002,22,22,20,21,Public,2019-2020,4058,5401,6962,7508,3162,4366,5783,6411
NCR - National Capital Region,2593,5483,3853,5244,3671,3700,3279,3019,0,0,12367,7987,206,67,290,297,2369,4802,2418,3579,3263,2949,3062,3003,0,0,10728,7254,132,51,243,318,Public,2019-2020,13396,17446,26259,25797,11112,14333,22215,21956
Region I - Ilocos Region,927,2733,2554,2736,3450,3554,1943,1527,201,8,2488,1696,0,0,9,4,876,2981,1780,2201,3231,3129,1867,1637,252,18,2590,1754,0,0,2,6,Private,2019-2020,9075,10558,11572,12258,8006,9966,10598,11726
Region II - Cagayan Valley,697,1748,2323,2225,2285,2803,1093,1084,103,3,826,516,5,3,12,14,779,1987,1648,1779,2183,2537,1199,1194,172,8,789,545,4,4,8,12,Private,2019-2020,6501,7863,7344,8396,5981,7505,6782,8066
Region III - Central Luzon,5994,12578,9324,11906,11559,10575,5123,4421,269,9,12439,8994,29,5,149,141,5670,12449,6224,8585,10312,8991,5339,5053,302,15,12264,9414,69,40,136,122,Private,2019-2020,32269,39489,44886,48629,27847,35093,40316,44669
Region IV-A - CALABARZON,8903,19404,15681,18359,19583,17047,5406,4341,263,22,18225,13686,111,51,225,330,8749,19924,10184,13826,17573,14889,5970,4842,310,11,17315,14064,106,41,230,351,Private,2019-2020,49836,59173,68397,73240,42786,53492,60437,67948
Region IV-B - MIMAROPA,394,1123,1216,1310,1006,1064,1203,1040,299,34,1365,1043,0,0,0,0,344,1163,772,962,978,947,1081,1105,401,53,1505,1239,2,0,0,0,Private,2019-2020,4118,4571,5483,5614,3576,4230,5083,5469
Region V - Bicol Region,882,2607,1666,2435,2544,2607,2960,3377,193,21,3913,2857,28,16,44,45,900,2746,1089,1578,2163,2015,2455,3039,286,12,3632,2774,31,22,27,35,Private,2019-2020,8245,11047,12230,13965,6893,9390,10583,12221
Region VI - Western Visayas,1441,4016,2930,4284,4825,5667,2086,1864,1907,34,3867,3084,2,1,91,83,1239,4220,1898,3236,4031,4930,1879,1699,2307,38,3478,3362,1,2,136,127,Private,2019-2020,13189,15865,17149,19033,11354,14123,14969,17614
Region VII - Central Visayas,2111,5703,3853,6860,7939,7426,3993,3329,1138,58,6482,4787,0,0,123,177,1946,5860,2628,5411,7289,6644,3746,3432,1053,47,6183,4937,0,0,123,196,Private,2019-2020,19034,23376,25639,28340,16662,21394,22968,26527
Region VIII - Eastern Visayas,641,1512,1489,2055,1489,1593,848,901,0,0,1834,1376,0,0,0,0,630,1519,1117,1715,1392,1391,897,971,0,0,1853,1539,0,0,0,0,Private,2019-2020,4467,6061,6301,7437,4036,5596,5889,7135
Region IX - Zamboanga Peninsula,497,1105,1978,2746,1853,2447,1221,1122,82,33,2490,1910,0,0,3,1,520,1377,1495,2056,1608,2132,1126,1372,14,1,2217,1840,0,0,2,1,Private,2019-2020,5631,7453,8124,9364,4763,6938,6982,8779
Region X - Northern Mindanao,1220,2827,2350,3289,2863,3152,2357,2370,380,15,3316,2329,0,0,20,27,1230,3114,1855,2785,2552,2653,1960,2094,485,17,3198,2512,0,0,20,34,Private,2019-2020,9170,11653,12506,14009,8082,10663,11300,13209
Region XI - Davao Region,1508,3485,3774,5487,3447,4214,1560,1676,158,10,6154,4386,0,0,20,35,1467,3466,2475,4025,3147,3663,1501,1593,183,20,5321,4020,0,0,27,30,Private,2019-2020,10447,14872,16621,19293,8773,12767,14121,16817
Region XII - Soccsksargen,891,2083,4378,5445,2460,3056,711,779,27,0,3479,1670,41,13,2,2,829,2108,3002,4007,2061,2388,754,866,25,1,3324,1851,6,3,6,3,Private,2019-2020,8467,11363,11989,13048,6671,9370,10007,11227
